Time Step,Weights
59,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417, 0.00012340980408667956, 7.48518298877006e-05, 4.5399929762484854e-05]"
60,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417, 0.00012340980408667956, 7.48518298877006e-05]"
61,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417, 0.00012340980408667956]"
62,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417]"
63,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185]"
64,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336]"
65,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162]"
66,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724]"
67,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585]"
68,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067]"
69,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467]"
70,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306]"
71,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418]"
72,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185]"
73,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944]"
74,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988]"
75,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127]"
76,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982]"
77,"[1.0, 0.6065306597126334, 0.36787944117144233]"
78,"[1.0, 0.6065306597126334]"
79,[1.0]
1,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467]"
2,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306]"
3,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418]"
4,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185]"
5,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944]"
6,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988]"
7,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127]"
8,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982]"
9,"[1.0, 0.6065306597126334, 0.36787944117144233]"
10,"[1.0, 0.6065306597126334]"
11,[1.0]
76,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417, 0.00012340980408667956]"
77,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417]"
78,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185]"
79,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336]"
80,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162]"
81,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724]"
82,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585]"
83,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067]"
84,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467]"
85,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306]"
86,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418]"
87,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185]"
88,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944]"
89,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988]"
90,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127]"
91,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982]"
92,"[1.0, 0.6065306597126334, 0.36787944117144233]"
93,"[1.0, 0.6065306597126334]"
94,[1.0]
13,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417, 0.00012340980408667956]"
14,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185, 0.00020346836901064417]"
15,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336, 0.00033546262790251185]"
16,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162, 0.0005530843701478336]"
17,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724, 0.0009118819655545162]"
18,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585, 0.0015034391929775724]"
19,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067, 0.0024787521766663585]"
20,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467, 0.004086771438464067]"
21,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306, 0.006737946999085467]"
22,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418, 0.011108996538242306]"
23,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185, 0.01831563888873418]"
24,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944, 0.0301973834223185]"
25,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988, 0.049787068367863944]"
26,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127, 0.0820849986238988]"
27,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982, 0.1353352832366127]"
28,"[1.0, 0.6065306597126334, 0.36787944117144233, 0.22313016014842982]"
29,"[1.0, 0.6065306597126334, 0.36787944117144233]"
30,"[1.0, 0.6065306597126334]"
31,[1.0]
